Instance, TimeLimit, Solver, Objective Value
2club200v15p5scn.mps, 10, SCIP, -28.0
2club200v15p5scn.mps, 10, gurobi(exact), -60.0
2club200v15p5scn.mps, 10, gurobi(heur), -60.0
2club200v15p5scn.mps, 10, FJ, -1.0
2club200v15p5scn.mps, 10, highs, N/A
2club200v15p5scn.mps, 10, cplex, -18.0
2club200v15p5scn.mps, 10, Local-ILP, -68.0
a2864-99blp.mps, 10, SCIP, N/A
a2864-99blp.mps, 10, gurobi(exact), -72.0
a2864-99blp.mps, 10, gurobi(heur), -72.0
a2864-99blp.mps, 10, FJ, -18.0
a2864-99blp.mps, 10, highs, N/A
a2864-99blp.mps, 10, cplex, -17.0
a2864-99blp.mps, 10, Local-ILP, -19.0
academictimetablebig.mps, 10, SCIP, N/A
academictimetablebig.mps, 10, gurobi(exact), N/A
academictimetablebig.mps, 10, gurobi(heur), N/A
academictimetablebig.mps, 10, FJ, N/A
academictimetablebig.mps, 10, highs, N/A
academictimetablebig.mps, 10, cplex, N/A
academictimetablebig.mps, 10, Local-ILP, N/A
bab1.mps, 10, SCIP, N/A
bab1.mps, 10, gurobi(exact), -215641.0
bab1.mps, 10, gurobi(heur), -216333.0
bab1.mps, 10, FJ, -87472.801
bab1.mps, 10, highs, N/A
bab1.mps, 10, cplex, -218764.88525
bab1.mps, 10, Local-ILP, -115040.2775
bab2.mps, 10, SCIP, N/A
bab2.mps, 10, gurobi(exact), N/A
bab2.mps, 10, gurobi(heur), N/A
bab2.mps, 10, FJ, N/A
bab2.mps, 10, highs, N/A
bab2.mps, 10, cplex, N/A
bab2.mps, 10, Local-ILP, N/A
bab3.mps, 10, SCIP, N/A
bab3.mps, 10, gurobi(exact), N/A
bab3.mps, 10, gurobi(heur), N/A
bab3.mps, 10, FJ, N/A
bab3.mps, 10, highs, N/A
bab3.mps, 10, cplex, N/A
bab3.mps, 10, Local-ILP, N/A
bab6.mps, 10, SCIP, N/A
bab6.mps, 10, gurobi(exact), N/A
bab6.mps, 10, gurobi(heur), N/A
bab6.mps, 10, FJ, N/A
bab6.mps, 10, highs, N/A
bab6.mps, 10, cplex, N/A
bab6.mps, 10, Local-ILP, N/A
bley_xs1.mps, 10, SCIP, 8835074.25
bley_xs1.mps, 10, gurobi(exact), 19125100.0
bley_xs1.mps, 10, gurobi(heur), 19125100.0
bley_xs1.mps, 10, FJ, 1.5171775664346896e+17
bley_xs1.mps, 10, highs, N/A
bley_xs1.mps, 10, cplex, N/A
bley_xs1.mps, 10, Local-ILP, 6934614.860000001
bley_xs1noM.mps, 10, SCIP, 8835074.25
bley_xs1noM.mps, 10, gurobi(exact), 4901590.0
bley_xs1noM.mps, 10, gurobi(heur), 5442430.0
bley_xs1noM.mps, 10, FJ, 713930383.58
bley_xs1noM.mps, 10, highs, N/A
bley_xs1noM.mps, 10, cplex, 68867387.33
bley_xs1noM.mps, 10, Local-ILP, 9535409.340000002
cdc7-4-3-2.mps, 10, SCIP, -230.0
cdc7-4-3-2.mps, 10, gurobi(exact), -232.0
cdc7-4-3-2.mps, 10, gurobi(heur), -232.0
cdc7-4-3-2.mps, 10, FJ, -1.0
cdc7-4-3-2.mps, 10, highs, N/A
cdc7-4-3-2.mps, 10, cplex, 0.0
cdc7-4-3-2.mps, 10, Local-ILP, -272.0
circ10-3.mps, 10, SCIP, N/A
circ10-3.mps, 10, gurobi(exact), N/A
circ10-3.mps, 10, gurobi(heur), N/A
circ10-3.mps, 10, FJ, 396.0
circ10-3.mps, 10, highs, N/A
circ10-3.mps, 10, cplex, N/A
circ10-3.mps, 10, Local-ILP, 384.0
comp12-2idx.mps, 10, SCIP, N/A
comp12-2idx.mps, 10, gurobi(exact), 1207.0
comp12-2idx.mps, 10, gurobi(heur), 942.0
comp12-2idx.mps, 10, FJ, 2784.0
comp12-2idx.mps, 10, highs, N/A
comp12-2idx.mps, 10, cplex, 13246.0
comp12-2idx.mps, 10, Local-ILP, 676.0
comp21-2idx.mps, 10, SCIP, 699.0
comp21-2idx.mps, 10, gurobi(exact), 264.0
comp21-2idx.mps, 10, gurobi(heur), 221.0
comp21-2idx.mps, 10, FJ, 1454.0
comp21-2idx.mps, 10, highs, N/A
comp21-2idx.mps, 10, cplex, 717.0
comp21-2idx.mps, 10, Local-ILP, 579.0
d10200.mps, 10, SCIP, 12455.0
d10200.mps, 10, gurobi(exact), 12462.0
d10200.mps, 10, gurobi(heur), 12463.0
d10200.mps, 10, FJ, 12933.0
d10200.mps, 10, highs, 12455.0
d10200.mps, 10, cplex, 12449.0
d10200.mps, 10, Local-ILP, 12808.0
d20200.mps, 10, SCIP, 14049.0
d20200.mps, 10, gurobi(exact), 12329.0
d20200.mps, 10, gurobi(heur), 12306.0
d20200.mps, 10, FJ, 13889.0
d20200.mps, 10, highs, 12449.0
d20200.mps, 10, cplex, 12330.0
d20200.mps, 10, Local-ILP, 13681.0
datt256.mps, 10, SCIP, N/A
datt256.mps, 10, gurobi(exact), N/A
datt256.mps, 10, gurobi(heur), N/A
datt256.mps, 10, FJ, N/A
datt256.mps, 10, highs, N/A
datt256.mps, 10, cplex, N/A
datt256.mps, 10, Local-ILP, N/A
ds-big.mps, 10, SCIP, N/A
ds-big.mps, 10, gurobi(exact), 62520.0
ds-big.mps, 10, gurobi(heur), 62520.0
ds-big.mps, 10, FJ, 7077.160192
